No,length,Go,Naive,RK,BM,KMP
1,411,988.4693000000036,1144.9835000000003,1202.3982000000046,12114.760500000037,5269476.279699996
2,467,1099.5312000000015,1725.9276999999965,1814.7980000000034,13330.967500000006,5677607.035799976
3,462,1268.6721999999972,1375.4391000000032,1997.970499999995,12864.87610000002,5690603.478700011
4,296,816.5589000000026,922.9529000000015,1089.8591000000022,10920.172800000018,5741550.1881999755
5,342,967.0418999999955,1019.1798000000019,1179.107499999998,12544.955400000037,6098062.737899998
6,349,2153.1932000000033,958.808599999999,1062.318600000004,10238.9445,6154116.5851000035
7,299,926.7435000000007,594.4623999999994,1022.7236999999963,9429.636699999995,6229281.930200043
8,355,919.4704000000008,1658.7525000000012,1251.4730999999995,10110.735799999955,6226666.5606
9,487,1859.0068999999942,2028.0699000000075,1200.6569000000045,13828.803099999936,6269657.233900021
10,461,2070.3150000000014,1468.7959999999998,1177.9858999999972,13056.760999999986,6523682.105199957
11,409,2264.3967999999923,1260.057200000002,1108.7394000000013,12228.169999999966,6595517.670299995
12,413,1218.440500000003,1183.3732000000023,1553.608999999999,16166.894400000072,6637184.309899984
13,281,409.55900000000094,513.9933999999998,1739.1893000000068,11432.635999999955,6670748.3357999865
14,417,1372.252099999994,1353.6737999999968,1193.6729000000028,12193.594999999998,6687370.389999964
15,361,1828.8983,1570.594400000002,1109.0924000000027,10480.86630000008,6689206.13089999
16,304,719.6822000000013,589.0846000000014,1643.3208999999922,10915.521900000014,6708210.233299986
17,2282,4115.264099999994,8398.168399999977,5370.102199999983,36059.03850000002,6614109.496899989
18,465,1301.129799999999,1963.7915,2456.8143999999957,13650.909800000007,6983279.681400019
19,282,408.8060999999996,638.0237000000006,985.0271999999961,12562.994999999977,7087325.564100032
20,4715,7329.271500000018,17948.982900000057,5487.237499999985,52939.49160000012,6998071.026100018
21,837,2488.201800000011,2718.8405000000134,2131.2478000000115,17954.227100000033,7105572.020299989
22,289,874.0268999999975,521.1321000000006,973.7159000000015,9954.783200000027,7122067.197199989
23,290,560.7895000000026,647.0918000000008,1038.2195000000038,11598.571000000014,7128167.057600022
24,415,1054.573899999998,1089.4574000000025,1583.9873999999916,9744.676999999943,7154060.980500021
25,300,849.1440999999986,1311.132899999996,1769.9042000000009,9876.108200000013,7166269.4417999955
26,262,99.8800000000002,576.7898999999993,1317.2339000000015,9435.336899999977,7259135.2851999905
27,1189,2415.207899999991,4108.104799999981,1901.6035000000004,20341.036200000057,7244313.9761000015
28,2969,4873.117699999994,10638.014000000041,4164.18830000001,36617.41189999981,7114444.6528
29,5050,8092.706099999984,19315.44429999998,6622.230100000008,56612.16780000008,5944464.454599987
30,3659,6881.8029,16089.611499999986,7472.812099999955,46880.44569999984,7201695.473699989
31,3170,6135.403800000001,16789.907100000044,4362.370800000011,40417.370699999934,7200571.642599986
32,1895,3179.076999999986,6244.134500000003,3039.066300000012,27114.731399999968,7446038.334500019
33,3504,7239.182700000012,13222.636299999998,6177.308700000011,47070.31290000001,7455454.654900018
34,2884,6679.004399999982,14687.329899999955,10077.654000000008,38503.31800000009,7216318.372099998
35,3911,6413.055499999997,19546.031199999972,6470.369699999975,48873.88350000005,7196359.271700017
36,288,566.8960999999993,1873.5590000000009,997.535999999995,11115.01869999991,7564522.793700018
37,294,774.933999999998,574.2859999999989,1085.0374999999995,16010.049500000034,7588039.293700016
38,283,509.0352999999995,494.1953999999994,1038.7450999999935,10891.077499999976,7596727.852899978
