No,length,Go,Naive,RK,BM,KMP
1,1933,2329.6231,3322.0242999999955,4369.092300000031,8074412.9150000075,9104427.729800008
2,2066,2004.1636000000087,3715.815499999998,4928.734100000005,9209817.663399993,9077136.18689998
3,1471,1463.4454999999973,2857.7602,5423.591999999984,8421502.06999997,10460110.23039997
4,1110,586.5551000000034,1568.4252,4169.548700000006,8537846.315899998,10824564.968600024
5,2881,3427.6516000000033,5855.7622000000065,5836.397799999999,7287533.587800017,12188015.653200006
6,3373,3123.5127000000007,6483.677500000035,6531.390399999964,9454896.559400009,10035194.090499995
7,3774,3601.501399999986,7073.236400000012,6035.48119999999,7548677.805500005,11996074.358299922
8,1545,1394.226199999997,2960.311199999996,4549.298700000013,9265600.96760001,10945493.557399992
9,2209,2308.3786000000005,4121.160399999993,4592.029600000017,10578622.754599962,9774466.196900032
10,3257,3169.8891999999937,6532.612000000009,7248.957599999981,9810710.24840004,10637204.60759998
11,2693,3529.5200999999997,5577.657099999988,5780.1431000000075,9469773.590499954,11052257.223700069
12,3871,3526.642300000002,7195.9155999999975,7924.787800000019,8392227.763800021,12090487.114200026
13,2704,2700.784999999995,4697.914199999988,5533.320400000011,10169362.130799977,10452061.833699942
14,2797,2866.6537999999837,6206.7880999999825,5846.823400000012,9094269.958300037,11698639.179199979
15,3018,3572.0099000000005,5322.586399999974,5331.530699999995,9423093.80790001,11529276.282299994
16,1591,1461.5233000000007,2923.388699999999,4872.562899999993,7901895.347699974,13194783.902600018
17,2749,2724.6562000000026,5314.825100000002,5857.028400000029,10682502.88970003,10349734.39659997
18,3924,3788.9508000000055,9082.963999999989,6951.579200000011,7601647.196899972,13444623.83579997
19,4330,4095.0763999999676,8862.00919999998,7628.413100000032,9422636.762999985,11550359.572200028
20,3477,4578.185600000007,6836.669900000007,5988.605999999989,9216958.166800028,11974428.63749993
21,1401,1396.6545000000015,2800.1799999999944,4326.91859999999,8857492.249300014,12441294.664700007
22,1478,1366.232099999998,2457.1691000000155,4130.1212000000005,10039869.427899979,11323249.026500028
23,1612,2787.351299999998,2732.890199999994,4658.754200000003,9393447.197600005,12098997.189099966
24,2089,2389.065299999991,5087.700899999993,4409.718699999993,10465035.829099992,11026197.995400034
25,2653,2380.4172000000135,5200.216200000012,4861.818000000005,9108074.810899999,12328375.640900007
26,2079,2682.410899999995,4484.1320999999825,5646.88789999999,9656141.33279998,11989374.947500005
27,2763,2770.651700000013,5655.241300000005,7074.707099999993,8982508.097799994,12598859.74259998
28,1968,1801.227500000005,4536.017100000001,5182.986499999984,11876466.261099966,9783109.495800018
29,4290,5360.314800000025,9118.24290000003,8496.89109999993,9893852.481799962,11729409.26500004
30,2125,2156.071900000008,3656.489999999999,4996.2292000000125,9962966.225100096,11821495.278599963
31,1868,2050.9179999999897,3323.7139000000006,4540.035400000033,10382379.13439999,11562082.130900014
32,2214,2091.1399000000056,4744.358700000003,5949.980799999966,10332103.938800044,11603285.064700058
33,2662,2872.3664000000117,6619.077900000009,5467.8521999999975,10752949.850800024,11151687.989299955
34,3471,3530.899099999989,6891.048700000009,6723.7809,9832532.418099988,11834798.934999984
35,3649,4363.600800000017,7884.978400000004,7015.687300000003,10559585.811999964,11344989.192200009
36,3505,3741.459100000004,6186.957399999985,6931.865399999988,9996340.317799948,11832934.4428
37,4285,4755.04570000004,7999.723099999988,8744.97009999998,9420548.333999977,12510320.339300044
38,3548,3522.657499999996,6501.532000000007,6145.3929999999955,8510110.33389998,13444116.106599998
39,3256,3924.5880999999986,7748.799099999987,6368.162299999967,8498684.352600016,13526310.296299994
40,4448,3863.6716000000065,8389.786300000067,7691.761299999996,10651332.77179998,11305617.383299995
41,3551,3481.0543999999913,6702.729300000016,7283.92610000001,9717162.261399925,12245641.117199928
42,3614,3678.0085000000104,7027.652700000034,7133.328299999991,10139318.108599974,11913497.48899999
43,3722,3668.092599999996,6651.006499999975,7426.558600000017,9126345.796100039,12747663.187099982
44,1586,2269.773799999996,3010.9621000000034,3994.2562000000007,10669664.996999986,11568953.710400002
45,2192,2515.621700000008,3800.6184999999955,5146.498999999988,10599674.132200005,11648891.27670001
46,3124,3065.170299999997,6000.8409000000165,6016.596299999982,9785319.566299964,12396808.303099971
47,3519,3853.589400000004,6836.066599999989,6010.650000000019,8553336.675699994,13550490.619700044
48,3408,3465.316399999995,5957.799100000019,6200.1311999999925,9365576.29709999,12830260.679800022
49,3424,3668.8549000000116,7265.732299999974,7950.432100000015,9663177.485100044,12537673.183799967
50,4783,4457.4648999999945,9542.333599999973,7795.681300000013,8869354.544099987,13338879.326700026
51,5752,5677.2472000000125,10309.553300000023,9785.501099999996,9651151.110099953,12127049.243500015
52,1405,1416.1569999999974,2228.2371000000044,4480.940899999979,9004287.05299999,13333903.170299985
53,1565,1470.611200000003,2642.9004999999893,4308.001299999994,9962173.02950002,12425391.829500034
54,3588,3643.2053000000033,6218.825799999991,7022.236600000013,10231307.938900042,12103360.201699963
