No,length,Go,Naive,RK,BM,KMP
1,18,51.93879999999987,75.61129999999989,82.9596000000003,293.33499999999947,128.65009999999972
2,245,115.80630000000036,9383.33670000005,241.89620000000005,1901.953099999997,401.32409999999874
3,86,90.0803999999999,185.29090000000062,175.4029000000001,16367.456800000056,285.45850000000115
4,334,177.70490000000035,2466.491999999999,2932.904999999987,8660.59660000002,833.9653000000029
5,168,142.5358000000008,338.5031000000005,15875.634200000128,6481.112999999988,18966.2643
6,902,415.5216,2804.3798000000006,1066.3297000000046,30056.120000000064,13014.820600000032
7,21,364.6344999999992,383.4167000000007,117.78660000000025,1426.0972999999965,990.4615000000017
8,15,68.94160000000022,90.45729999999998,165.04000000000005,1600.2723000000049,779.0286000000048
9,205,408.0963999999985,7053.976599999979,546.2850999999993,4206.789499999979,1065.4730999999952
10,251,1821.0266000000072,1087.286099999998,1502.2290000000007,9303.63659999997,738.6280999999992
11,464,241.14809999999989,721.4256000000024,684.7064999999996,15589.879299999948,4894.805800000012
12,718,429.2060000000016,1509.258900000004,1722.8148999999928,20537.452800000017,11475.891099999973
13,457,391.3392000000008,1275.4390000000012,1617.3063999999952,14761.75650000005,7127.789699999996
14,214,161.09160000000028,559.8581999999981,351.34720000000203,9579.030200000016,633.8925000000002
15,218,188.17929999999996,4267.517700000013,371.94610000000114,4947.033000000002,543.068700000002
16,491,877.0602000000009,1245.5596000000023,740.0967000000021,23032.188100000076,9064.681000000039
17,553,394.5592999999989,1222.1760999999983,4552.192400000014,42984.4824,35267.25340000008
18,586,305.5173999999988,6346.776200000013,7204.235300000001,41818.45270000003,28675.081900000016
19,219,288.40379999999857,572.7382000000009,301.98500000000104,8252.32189999997,5940.060099999987
20,855,679.810399999999,10059.106299999967,974.706800000004,41808.70209999988,30753.79039999998
21,1137,2536.03270000001,5220.547700000004,2429.3108999999936,23929.953600000106,8438.37310000002
22,339,167.8687999999997,470.28860000000117,389.7498999999996,15069.316999999975,576.335300000001
